"index","profile.id","chromosome","min","max","annotation"
"1","213","11",53700000,135006516,"normal"
"2","333","11",53700000,135006516,"normal"
"3","393","11",53700000,135006516,"normal"
"4","148","11",53700000,135006516,"normal"
"5","402","11",53700000,135006516,"normal"
"6","521","11",53700000,135006516,"normal"
"7","590","11",53700000,135006516,"breakpoint"
"8","342","11",53700000,135006516,"normal"
"9","195","11",53700000,135006516,"normal"
"10","326","11",53700000,135006516,"normal"
"11","550","11",53700000,135006516,"normal"
"12","363","11",53700000,135006516,"normal"
"13","473","11",53700000,135006516,"normal"
"14","313","11",53700000,135006516,"normal"
"15","561","11",53700000,135006516,"normal"
"16","553","11",53700000,135006516,"normal"
"17","84","11",53700000,135006516,"normal"
"18","180","11",53700000,135006516,"breakpoint"
"19","52","11",53700000,135006516,"normal"
"20","388","11",53700000,135006516,"normal"
"21","185","11",53700000,135006516,"breakpoint"
"22","224","11",53700000,135006516,"breakpoint"
"23","487","11",53700000,135006516,"breakpoint"
"24","493","11",53700000,135006516,"normal"
"25","547","11",53700000,135006516,"normal"
"26","294","11",53700000,135006516,"normal"
"27","394","11",53700000,135006516,"normal"
"28","368","11",53700000,135006516,"breakpoint"
"29","380","11",53700000,135006516,"breakpoint"
"30","548","11",53700000,135006516,"normal"
"31","297","11",53700000,135006516,"normal"
"32","588","11",53700000,135006516,"normal"
"33","410","11",53700000,135006516,"normal"
"34","227","11",53700000,135006516,"normal"
"35","192","11",53700000,135006516,"normal"
"36","362","11",53700000,135006516,"normal"
"37","317","11",53700000,135006516,"normal"
"38","351","11",53700000,135006516,"normal"
"39","60","11",53700000,135006516,"breakpoint"
"40","349","11",53700000,135006516,"normal"
"41","420","11",53700000,135006516,"breakpoint"
"42","17","11",53700000,135006516,"breakpoint"
"43","89","11",53700000,135006516,"normal"
"44","546","11",53700000,135006516,"normal"
"45","544","11",53700000,135006516,"normal"
"46","183","11",53700000,135006516,"normal"
"47","522","11",53700000,135006516,"breakpoint"
"48","545","11",53700000,135006516,"breakpoint"
"49","254","11",53700000,135006516,"normal"
"50","412","11",53700000,135006516,"breakpoint"
"51","190","11",53700000,135006516,"breakpoint"
"52","513","11",53700000,135006516,"breakpoint"
"53","385","11",53700000,135006516,"normal"
"54","309","11",53700000,135006516,"normal"
"55","475","11",53700000,135006516,"normal"
"56","491","11",53700000,135006516,"normal"
"57","86","11",53700000,135006516,"normal"
"58","83","11",53700000,135006516,"normal"
"59","110","11",53700000,135006516,"normal"
"60","146","11",53700000,135006516,"normal"
"61","82","11",53700000,135006516,"normal"
"62","65","11",53700000,135006516,"normal"
"63","76","11",53700000,135006516,"normal"
"64","184","11",53700000,135006516,"normal"
"65","151","11",53700000,135006516,"normal"
"66","116","11",53700000,135006516,"normal"
"67","73","11",53700000,135006516,"normal"
"68","384","11",53700000,135006516,"normal"
"69","58","11",53700000,135006516,"normal"
"70","203","11",53700000,135006516,"normal"
"71","152","11",53700000,135006516,"normal"
"72","156","11",53700000,135006516,"normal"
"73","222","11",53700000,135006516,"normal"
"74","138","11",53700000,135006516,"normal"
"75","35","11",53700000,135006516,"normal"
"76","107","11",53700000,135006516,"normal"
